nest,birdID_female,year,birdID_male,prov_rate_male,prop_prov_male,prov_rate_female,prop_prov_female,total_prov_rate,male_age,female_age,pairbond,bs,spotiness,H_shell,S_shell,V_shell
511,1V005418,2017,Larkin,0.3,75,0.1,25,0.4,12,11,2,2,0.1513392,0.143711236,0.312433047,0.814055116
355,Anita,2017,Luca,0.3,60,0.2,40,0.5,7,17,2,1,0.202011725,0.151795543,0.338721366,0.781363098
415,Auguste,2017,Marek,1.2,70.58823529,0.5,29.41176471,1.7,23,22,2,2,0.266426339,0.176364728,0.237219072,0.822857471
466,Bea,2017,Ismael,0.6,85.71428571,0.1,14.28571429,0.7,7,18,4,2,0.199671183,0.138691632,0.330742157,0.885945558
559,Benita,2017,Finnegan,0.2,100,0,0,0.2,7,7,4,2,0.23929432,0.147507202,0.337419363,0.807187494
275,Cosima,2017,Dildo,0.125,25,0.375,75,0.5,7,7,4,3,0.444310798,0.136858499,0.419502901,0.69200693
567,Djamila,2017,Olesko,0.2,50,0.2,50,0.4,6,7,2,3,0.266930536,0.115720915,0.422340239,0.823396769
206,Doro,2017,SirDavid,0.5,50,0.5,50,1,23,16,1,1,0.291241733,0.133887766,0.38263086,0.764063038
214,Elvira,2017,Timothy,0.3,50,0.3,50,0.6,17,16,2,3,0.299028584,0.171898726,0.297686394,0.776783729
541,Indira,2017,Linneus,0.8,66.66666667,0.4,33.33333333,1.2,6,7,2,3,0.295570645,0.131300533,0.40521205,0.785761776
254,Jantje,2017,Blake,1.1,45.83333333,1.3,54.16666667,2.4,8,7,4,3,0.300890352,0.134708183,0.414123948,0.774042578
513,Juanita,2017,Armando,0.5,71.42857143,0.2,28.57142857,0.7,17,7,4,2,0.276943713,0.139868935,0.393715863,0.752377546
207,Nell,2017,Roy,0.6,66.66666667,0.3,33.33333333,0.9,16,16,4,2,0.265623518,0.155608063,0.35603266,0.743846105
426,Pinelopi,2017,Russell,0.4,50,0.4,50,0.8,6,7,3,2,0.248628559,0.116396642,0.480281662,0.773504965
363,Tetje,2017,Lamar,0.3,75,0.1,25,0.4,7,7,4,2,0.096309116,0.14048731,0.31696013,0.841959573
215,u23,2017,Danilo,0.7,70,0.3,30,1,13,NA,NA,3,0.262102045,0.140752191,0.354595636,0.812435537
249,u24,2017,Bibo,1.3,68.42105263,0.6,31.57894737,1.9,14,NA,NA,3,0.154281306,0.145752713,0.357297922,0.825009607
288,u25,2017,Pontus,0.1,100,0,0,0.1,6,NA,NA,1,0.205951205,0.137932154,0.327468518,0.792535442
339,u26,2017,Abel,0.7,63.63636364,0.4,36.36363636,1.1,9,NA,NA,3,0.365352876,0.183259113,0.27708944,0.76002083
530,1V005418,2018,Larkin,1.9,76,0.6,24,2.5,13,12,3,3,0.269947329,0.148932733,0.344560433,0.761021903
555,99Z29707,2018,Calimero,0.6,66.66666667,0.3,33.33333333,0.9,11,10,1,1,0.327588991,0.115783356,0.442923065,0.774066172
375,Anita,2018,Luca,0.5,33.33333333,1,66.66666667,1.5,8,18,3,1,0.159269841,0.160809585,0.285167625,0.816252756
330,Asthma,2018,Satan,1,40,1.5,60,2.5,7,6,4,2,0.169472027,0.138038915,0.351212827,0.849912533
431,Bea,2018,Ismael,1.2,75,0.4,25,1.6,8,19,4,3,0.153928265,0.14707391,0.320895158,0.843617072
538,Benita,2018,Finnegan,0.9,69.23076923,0.4,30.76923077,1.3,8,8,5,3,0.340344251,0.146984616,0.364542368,0.705019179
483,Caprice,2018,Nathan,1,58.82352941,0.7,41.17647059,1.7,5,5,3,3,0.19286389,0.143351934,0.36853263,0.789409199
232,Carmela,2018,Fabius,0.7,53.84615385,0.6,46.15384615,1.3,9,19,1,2,0.199263578,0.131299769,0.394489737,0.753746436
221,Cathy,2018,Hasso,1.1,64.70588235,0.6,35.29411765,1.7,8,7,5,3,0.116849962,0.137137623,0.272655391,0.926591435
264,Cosima,2018,Dildo,0.1,10,0.9,90,1,8,8,5,1,0.503400541,0.133897194,0.425405858,0.636226668
337,Dakota,2018,Waschtl,3.2,91.42857143,0.3,8.571428571,3.5,6,7,2,3,0.318626989,0.131817513,0.421316124,0.764070621
207,Dilara,2018,Jarvis,2.6,76.47058824,0.8,23.52941176,3.4,8,8,3,3,0.253584809,0.15585247,0.320737108,0.753149837
236,Dorina,2018,Levi,0.375,25,1.125,75,1.5,8,8,5,2,0.226537386,0.138860381,0.355868377,0.75662831
218,Elvira,2018,Chio,0.9,30,2.1,70,3,7,17,1,3,0.223389921,0.191282681,0.238307433,0.802566385
259,Fadila,2018,Knuckles,0.8,50,0.8,50,1.6,6,6,3,2,0.261716305,0.126457038,0.412927922,0.805036201
274,Gloria,2018,Arno,2.1,77.77777778,0.6,22.22222222,2.7,5,5,3,1,0.220135711,0.131278363,0.403812289,0.789079722
460,Guinea,2018,Falk,1.3,76.47058824,0.4,23.52941176,1.7,21,8,2,1,0.201991408,0.111164863,0.455306881,0.710877304
5042,Hannah,2018,Willi,0.7,43.75,0.9,56.25,1.6,18,12,5,2,0.40032099,0.133510789,0.429666586,0.66471424
254,Ignazia,2018,Kamil,0,0,0.1,100,0.1,8,8,0,2,0.280340284,0.134973947,0.392417236,0.7219228
2582,Imogen,2018,Nikolas,1.1,73.33333333,0.4,26.66666667,1.5,8,8,1,1,0.202408914,0.175809246,0.219851874,0.820282323
517,Indira,2018,Linneus,0.9,75,0.3,25,1.2,7,8,3,3,0.313630761,0.134867648,0.401340796,0.743260461
240,Jantje,2018,Blake,0.8,88.88888889,0.1,11.11111111,0.9,9,8,5,1,0.266673636,0.144680446,0.396755104,0.778148826
