year,nest_nr,egg_nr,picture_nr,slice,zone,repeats,nb,label,area,mean,stdev,min,max,name
2019,201,1,1,13-05-2019_201_1_1.JPG,spot,1,1,Red,217440,72,23.24,26,110,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,spot,1,2,Green,217440,69.84,22.26,30,110,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,spot,1,3,Blue,217440,59.15,18.8,25,110,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,spot,1,4,(R+G+B)/3,217440,67.01,21.06,30,109,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,spot,1,5,0.299R+0.587G+0.114B,217440,69.27,21.96,30,109,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell,1,6,Red,5017,160.23,1.83,148,176,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell ,1,7,Green,5017,166.83,1.85,151,182,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell ,1,8,Blue,5017,131.1,2.39,119,148,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell,1,9,(R+G+B)/3,5017,152.72,1.78,140,169,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell,1,10,0.299R+0.587G+0.114B,5017,160.65,1.71,147,176,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell,2,11,Red,2983,156.44,2.51,120,165,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell ,2,12,Green,2983,162.9,2.68,125,172,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell ,2,13,Blue,2983,124.4,3.04,84,136,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell,2,14,(R+G+B)/3,2983,147.81,2.53,110,156,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell,2,15,0.299R+0.587G+0.114B,2983,156.54,2.5,119,165,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell,3,16,Red,344,150.43,1.52,146,155,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell ,3,17,Green,344,156.38,1.51,152,161,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell ,3,18,Blue,344,122.19,1.81,117,127,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell,3,19,(R+G+B)/3,344,143.09,1.3,139,147,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell,3,20,0.299R+0.587G+0.114B,344,150.59,1.34,147,155,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell,4,21,Red,2219,151.07,1.89,145,157,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell ,4,22,Green,2219,153.34,1.95,145,160,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell ,4,23,Blue,2219,126.91,3.13,119,136,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell,4,24,(R+G+B)/3,2219,143.72,1.5,139,150,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell,4,25,0.299R+0.587G+0.114B,2219,149.69,1.42,143,156,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell,5,26,Red,63,148.59,1.81,143,152,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell ,5,27,Green,63,153.67,1.45,150,156,Jasmine
2019,201,1,1,13-05-2019_201_1_1.JPG,shell ,5,28,Blue,63,112.25,1.5,108,114,Jasmine
