year,nest_nr,egg_nr,picture_nr,slice,zone,repeats,nb,label,area,mean,stdev,min,max
2019,419,60,1,02-05-2019_419_60_1.JPG,spot,1,1,Red,165757,74.18,22.89,26,110
2019,419,60,1,02-05-2019_419_60_1.JPG,spot,1,2,Green,165757,68.96,18.68,31,110
2019,419,60,1,02-05-2019_419_60_1.JPG,spot,1,3,Blue,165757,52.99,13.63,8,110
2019,419,60,1,02-05-2019_419_60_1.JPG,spot,1,4,(R+G+B)/3,165757,65.37,17.6,28,110
2019,419,60,1,02-05-2019_419_60_1.JPG,spot,1,5,0.299R+0.587G+0.114B,165757,68.7,19,30,110
2019,419,60,1,02-05-2019_419_60_1.JPG,shell,1,6,Red,49553,151.32,4.33,77,163
2019,419,60,1,02-05-2019_419_60_1.JPG,shell ,1,7,Green,49553,131.11,3.47,70,145
2019,419,60,1,02-05-2019_419_60_1.JPG,shell ,1,8,Blue,49553,82.45,3.6,33,104
2019,419,60,1,02-05-2019_419_60_1.JPG,shell,1,9,(R+G+B)/3,49553,121.65,3.11,62,134
2019,419,60,1,02-05-2019_419_60_1.JPG,shell,1,10,0.299R+0.587G+0.114B,49553,131.59,3.35,70,145
2019,419,60,1,02-05-2019_419_60_1.JPG,shell,2,11,Red,17085,159.46,2.49,89,166
2019,419,60,1,02-05-2019_419_60_1.JPG,shell ,2,12,Green,17085,138.36,2.22,69,146
2019,419,60,1,02-05-2019_419_60_1.JPG,shell ,2,13,Blue,17085,85.37,2.6,32,102
2019,419,60,1,02-05-2019_419_60_1.JPG,shell,2,14,(R+G+B)/3,17085,127.75,2.04,63,137
2019,419,60,1,02-05-2019_419_60_1.JPG,shell,2,15,0.299R+0.587G+0.114B,17085,138.59,2.09,71,146
2019,419,60,1,02-05-2019_419_60_1.JPG,shell,3,16,Red,16775,162.21,2.52,107,171
2019,419,60,1,02-05-2019_419_60_1.JPG,shell ,3,17,Green,16775,141.5,2.4,86,152
2019,419,60,1,02-05-2019_419_60_1.JPG,shell ,3,18,Blue,16775,87.61,2.8,43,102
2019,419,60,1,02-05-2019_419_60_1.JPG,shell,3,19,(R+G+B)/3,16775,130.51,2.19,79,140
2019,419,60,1,02-05-2019_419_60_1.JPG,shell,3,20,0.299R+0.587G+0.114B,16775,141.54,2.21,87,151
2019,419,60,1,02-05-2019_419_60_1.JPG,shell,4,21,Red,16390,165.42,2.25,139,187
2019,419,60,1,02-05-2019_419_60_1.JPG,shell ,4,22,Green,16390,145.99,1.86,120,170
2019,419,60,1,02-05-2019_419_60_1.JPG,shell ,4,23,Blue,16390,93.77,2.38,77,124
2019,419,60,1,02-05-2019_419_60_1.JPG,shell,4,24,(R+G+B)/3,16390,135.07,1.7,112,160
2019,419,60,1,02-05-2019_419_60_1.JPG,shell,4,25,0.299R+0.587G+0.114B,16390,145.82,1.68,121,170
2019,419,60,1,02-05-2019_419_60_1.JPG,shell,5,26,Red,73491,165.21,10.9,53,181
2019,419,60,1,02-05-2019_419_60_1.JPG,shell ,5,27,Green,73491,146.49,9.62,50,165
2019,419,60,1,02-05-2019_419_60_1.JPG,shell ,5,28,Blue,73491,96.11,5.95,32,114
2019,419,60,1,02-05-2019_419_60_1.JPG,shell,5,29,(R+G+B)/3,73491,135.9,8.7,47,153
2019,419,60,1,02-05-2019_419_60_1.JPG,shell,5,30,0.299R+0.587G+0.114B,73491,146.33,9.49,50,164
2019,419,60,1,02-05-2019_419_60_1.JPG,background,1,31,Red,64056,224.46,1.7,218,233
2019,419,60,1,02-05-2019_419_60_1.JPG,background,1,32,Green,64056,224.6,1.6,218,232
2019,419,60,1,02-05-2019_419_60_1.JPG,background,1,33,Blue,64056,227.7,2.16,219,237
2019,419,60,1,02-05-2019_419_60_1.JPG,background,1,34,(R+G+B)/3,64056,225.6,1.69,219,234
2019,419,60,1,02-05-2019_419_60_1.JPG,background,1,35,0.299R+0.587G+0.114B,64056,224.86,1.57,218,233
2019,419,60,2,02-05-2019_419_60_2.JPG,spot,1,1,Red,150543,80.3,19.54,26,110
2019,419,60,2,02-05-2019_419_60_2.JPG,spot,1,2,Green,150543,73.55,15.97,28,110
2019,419,60,2,02-05-2019_419_60_2.JPG,spot,1,3,Blue,150543,55.7,11.92,20,108
2019,419,60,2,02-05-2019_419_60_2.JPG,spot,1,4,(R+G+B)/3,150543,69.84,15.07,28,109
2019,419,60,2,02-05-2019_419_60_2.JPG,spot,1,5,0.299R+0.587G+0.114B,150543,73.52,16.24,29,110
2019,419,60,2,02-05-2019_419_60_2.JPG,shell,1,6,Red,42919,161.06,3.9,80,172
2019,419,60,2,02-05-2019_419_60_2.JPG,shell ,1,7,Green,42919,140.42,3.63,65,153
2019,419,60,2,02-05-2019_419_60_2.JPG,shell ,1,8,Blue,42919,87.15,3.08,32,105
2019,419,60,2,02-05-2019_419_60_2.JPG,shell,1,9,(R+G+B)/3,42919,129.59,3.26,62,141
2019,419,60,2,02-05-2019_419_60_2.JPG,shell,1,10,0.299R+0.587G+0.114B,42919,140.49,3.47,67,152
2019,419,60,2,02-05-2019_419_60_2.JPG,shell,2,11,Red,35355,164.05,7.64,86,177
2019,419,60,2,02-05-2019_419_60_2.JPG,shell ,2,12,Green,35355,144.14,6.86,76,163
2019,419,60,2,02-05-2019_419_60_2.JPG,shell ,2,13,Blue,35355,91.93,4.41,51,118
2019,419,60,2,02-05-2019_419_60_2.JPG,shell,2,14,(R+G+B)/3,35355,133.41,6.08,74,153
2019,419,60,2,02-05-2019_419_60_2.JPG,shell,2,15,0.299R+0.587G+0.114B,35355,144.11,6.67,78,162
2019,419,60,2,02-05-2019_419_60_2.JPG,shell,3,16,Red,57773,169.51,2.57,137,179
2019,419,60,2,02-05-2019_419_60_2.JPG,shell ,3,17,Green,57773,149.48,1.91,114,158
2019,419,60,2,02-05-2019_419_60_2.JPG,shell ,3,18,Blue,57773,97.84,2.58,72,109
2019,419,60,2,02-05-2019_419_60_2.JPG,shell,3,19,(R+G+B)/3,57773,138.94,1.84,108,147
2019,419,60,2,02-05-2019_419_60_2.JPG,shell,3,20,0.299R+0.587G+0.114B,57773,149.56,1.77,116,157
2019,419,60,2,02-05-2019_419_60_2.JPG,shell,4,21,Red,15652,166.25,2.08,158,174
2019,419,60,2,02-05-2019_419_60_2.JPG,shell ,4,22,Green,15652,146.1,1.62,140,155
2019,419,60,2,02-05-2019_419_60_2.JPG,shell ,4,23,Blue,15652,93.06,2.33,86,110
2019,419,60,2,02-05-2019_419_60_2.JPG,shell,4,24,(R+G+B)/3,15652,135.16,1.64,129,145
2019,419,60,2,02-05-2019_419_60_2.JPG,shell,4,25,0.299R+0.587G+0.114B,15652,146.03,1.52,140,154
2019,419,60,2,02-05-2019_419_60_2.JPG,shell,5,26,Red,65770,158.47,3.32,81,195
2019,419,60,2,02-05-2019_419_60_2.JPG,shell ,5,27,Green,65770,137.27,3.26,64,186
2019,419,60,2,02-05-2019_419_60_2.JPG,shell ,5,28,Blue,65770,85.37,4.76,42,157
2019,419,60,2,02-05-2019_419_60_2.JPG,shell,5,29,(R+G+B)/3,65770,127.07,3.15,63,179
2019,419,60,2,02-05-2019_419_60_2.JPG,shell,5,30,0.299R+0.587G+0.114B,65770,137.67,3.07,67,185
2019,419,60,2,02-05-2019_419_60_2.JPG,background,1,31,Red,64056,226.29,1.64,220,233
2019,419,60,2,02-05-2019_419_60_2.JPG,background,1,32,Green,64056,226.4,1.6,220,234
2019,419,60,2,02-05-2019_419_60_2.JPG,background,1,33,Blue,64056,229.6,2.02,221,238
2019,419,60,2,02-05-2019_419_60_2.JPG,background,1,34,(R+G+B)/3,64056,227.45,1.61,221,235
2019,419,60,2,02-05-2019_419_60_2.JPG,background,1,35,0.299R+0.587G+0.114B,64056,226.68,1.54,221,234
2019,528,61,1,02-05-2019_528_61_1.JPG,spot,1,1,Red,31906,81.56,20.17,33,110
2019,528,61,1,02-05-2019_528_61_1.JPG,spot,1,2,Green,31906,81.23,19.62,36,110
2019,528,61,1,02-05-2019_528_61_1.JPG,spot,1,3,Blue,31906,68.43,16.1,21,110
2019,528,61,1,02-05-2019_528_61_1.JPG,spot,1,4,(R+G+B)/3,31906,77.09,18.17,35,110
2019,528,61,1,02-05-2019_528_61_1.JPG,spot,1,5,0.299R+0.587G+0.114B,31906,79.89,19.14,36,110
2019,528,61,1,02-05-2019_528_61_1.JPG,shell,1,6,Red,4549,150.19,2.14,135,156
2019,528,61,1,02-05-2019_528_61_1.JPG,shell ,1,7,Green,4549,133.59,1.42,121,138
2019,528,61,1,02-05-2019_528_61_1.JPG,shell ,1,8,Blue,4549,88.24,2.01,81,96
2019,528,61,1,02-05-2019_528_61_1.JPG,shell,1,9,(R+G+B)/3,4549,124.01,1.25,113,128
2019,528,61,1,02-05-2019_528_61_1.JPG,shell,1,10,0.299R+0.587G+0.114B,4549,133.42,1.24,121,137
2019,528,61,1,02-05-2019_528_61_1.JPG,shell,2,11,Red,32084,151.24,2.62,112,163
2019,528,61,1,02-05-2019_528_61_1.JPG,shell ,2,12,Green,32084,133.98,1.67,99,145
2019,528,61,1,02-05-2019_528_61_1.JPG,shell ,2,13,Blue,32084,87.13,2.71,54,100
2019,528,61,1,02-05-2019_528_61_1.JPG,shell,2,14,(R+G+B)/3,32084,124.07,1.51,88,136
