,egg_id,nest,nest_id,year,mean_red_spot,mean_red_shell,mean_blue_spot,mean_blue_shell,mean_green_spot,mean_green_shell,spotiness,H_shell,S_shell,V_shell,H_spot,S_spot,V_spot
1,201_1,201,201_2019,2019,70.975,154.2,58.44,125.008,68.715,159.608,0.211635135,0.192738461,0.216814617,0.867038961,0.136565049,0.176584217,0.705937935
2,201_2,201,201_2019,2019,72.76,145.51,57.915,111.334,69.42,148.947,0.296660186,0.181943967,0.252575058,0.809125182,0.129151106,0.204052413,0.723692063
3,201_3,201,201_2019,2019,66.325,155.683,51.97,131.734,62.265,161.149,0.196636738,0.19764525,0.182573985,0.875410139,0.119530397,0.216624081,0.659687687
4,202_1,202,202_2019,2019,74.475,163.125,56.365,113.463,67.3,155.562,0.165275301,0.141308452,0.304428311,0.886144369,0.100639236,0.24323737,0.740749951
5,202_2,202,202_2019,2019,67.82,164.608,50.935,114.081,61.19,157.053,0.172736077,0.141735651,0.307026934,0.894200474,0.101140216,0.248929281,0.67455739
6,202_3,202,202_2019,2019,71.33,162.657,51.05,111.091,62.575,154.662,0.23377732,0.140834508,0.317024807,0.883602051,0.094716116,0.284310886,0.709468868
7,206_1,206,206_2019,2019,64.05,137.52,50.45,96.004,61.59,136.558,0.260083085,0.162804702,0.301890634,0.74705026,0.136519608,0.212334114,0.637059877
8,206_2,206,206_2019,2019,73.01,139.164,54.42,94.846,68.89,138.914,0.284963607,0.165726492,0.318458797,0.755980965,0.129729245,0.254622654,0.726178635
9,206_3,206,206_2019,2019,80.58,127.854,55.79,79.916,74.71,123.414,0.283678724,0.151230061,0.374943295,0.694541622,0.127201829,0.307644577,0.801472051
10,210_1,210,210_2019,2019,79.715,140.515,55.465,91.851,73.34,136.017,0.305593859,0.151262507,0.346326125,0.763320007,0.122801325,0.304207639,0.79286851
11,210_2,210,210_2019,2019,96.22,154.353,66.265,118.904,85.54,151.643,0.081238403,0.153928604,0.229684098,0.83849221,0.107198636,0.311380147,0.957032027
12,210_3,210,210_2019,2019,70.605,159.08,51.125,115.004,64.44,157.633,0.250537552,0.161214656,0.277296174,0.864170705,0.113872791,0.275952871,0.702257808
13,213_1,213,213_2019,2019,94.81,159.148,67.76,111.544,86.705,146.968,0.080329449,0.123993533,0.299268813,0.864540101,0.116729891,0.285295099,0.943007758
14,213_2,213,213_2019,2019,77.56,145.37,51.59,80.745,67.325,127.349,0.197017736,0.120175983,0.444797095,0.789693836,0.100992494,0.334817121,0.771434255
15,213_3,213,213_2019,2019,81.59,145.718,52.08,77.011,67.74,125.479,0.232694423,0.117564903,0.471522643,0.791584277,0.088444682,0.361705783,0.811517804
16,219_1,219,219_2019,2019,84.225,170.846,53.235,109.964,70.745,158.817,0.148792111,0.133759299,0.356573443,0.928087178,0.094169412,0.367950056,0.837726279
17,219_2,219,219_2019,2019,71.455,183.37,54.91,152.775,64.14,179.945,0.068137512,0.148021755,0.166865949,0.996121336,0.092848311,0.231543415,0.710712155
18,219_3,219,219_2019,2019,80.25,178.72,55.18,138.167,69.885,175.878,0.105477382,0.154986757,0.226910773,0.970861129,0.097721072,0.312288588,0.798189775
19,220_1,220,220_2019,2019,84.31,160.238,55.885,102.424,73.155,149.539,0.189983881,0.135807994,0.360848679,0.870461312,0.101247741,0.337166275,0.838571713
20,220_2,220,220_2019,2019,80.88,163.069,57.45,109.924,72.28,154.52,0.203061815,0.139856387,0.325907289,0.88584016,0.105489507,0.289687539,0.804455938
21,220_3,220,220_2019,2019,86.79,155.1,51.2,88.91,71.5,140.045,0.185529458,0.12877796,0.426786416,0.84255014,0.095050217,0.409958764,0.863238512
22,223_1,223,223_2019,2019,83.5,112.146,55.495,65.811,77.37,103.745,0.664096107,0.136455302,0.413136079,0.609211013,0.130186915,0.33538877,0.830515218
23,223_2,223,223_2019,2019,77.555,120.988,55.555,72.827,73.055,113.34,0.496089206,0.140205462,0.398436216,0.657243432,0.132575094,0.283801875,0.771384524
24,223_3,223,223_2019,2019,75.67,150.334,55.155,95.599,67.55,141.972,0.293021342,0.141199585,0.364087334,0.816659786,0.100536534,0.270838191,0.752635767
25,238_1,238,238_2019,2019,65.81,153.055,50.97,97.589,61.005,146.418,0.250500557,0.146720811,0.362612802,0.831441081,0.11269433,0.225565884,0.654565347
26,238_2,238,238_2019,2019,71.16,150.019,53.66,90.588,65.745,141.93,0.325270376,0.144006306,0.396143413,0.814948611,0.114995717,0.245808694,0.707777999
27,238_3,238,238_2019,2019,63.44,153.789,46.37,90.883,56.085,142.615,0.244044953,0.137052404,0.408994883,0.835428391,0.094866442,0.269220457,0.63099264
28,245_1,245,245_2019,2019,90.945,127.073,56.765,67.023,77.925,107.734,0.364140513,0.113006684,0.472558495,0.690298994,0.103181778,0.375837886,0.904565347
29,245_2,245,245_2019,2019,77.22,138.318,49.855,75.422,66.38,120.976,0.268433417,0.12065878,0.454573651,0.751385237,0.100643613,0.35449036,0.768052517
30,245_3,245,245_2019,2019,80.695,128.544,53.59,65.997,68.605,107.022,0.337794121,0.109336732,0.486502907,0.698289911,0.092330283,0.335943659,0.802615875
31,255_1,255,255_2019,2019,91.47,158.187,61.97,114.443,81.76,153.235,0.103777247,0.147836258,0.276509288,0.859319659,0.111802652,0.322515219,0.90978715
32,255_2,255,255_2019,2019,82.83,148.433,56.1,87.89,70.985,132.073,0.212911014,0.121653434,0.407963485,0.806332979,0.092812554,0.322729548,0.823851204
33,257_1,257,257_2019,2019,84.07,167.642,62.615,121.946,75.1,160.875,0.13108293,0.142028727,0.272631713,0.91068208,0.096984075,0.25502914,0.836184603
34,257_2,257,257_2019,2019,87.82,145.663,56.13,83.645,74.34,127.425,0.223872425,0.117657101,0.425867353,0.7912855,0.095798414,0.360912268,0.873483191
35,267_1,267,267_2019,2019,63.465,158.09,52.145,108.814,59.87,150.983,0.284595439,0.142617224,0.311656083,0.858792725,0.113758042,0.178720159,0.631241297
36,267_2,267,267_2019,2019,66.89,146.177,53.67,85.549,62.545,133.314,0.32332428,0.131301601,0.414766096,0.794077704,0.112087295,0.197725981,0.66530734
37,272_1,272,272_2019,2019,100.435,173.221,73.98,122.155,87.675,162.372,0.025069051,0.131255678,0.294972881,0.940988896,0.086194385,0.263391624,0.99895564
38,272_2,272,272_2019,2019,93.21,148.195,64.675,90.24,80.775,131.706,0.17963709,0.119231057,0.391012344,0.80504009,0.094034809,0.306147274,0.927093694
39,304_1,304,304_2019,2019,75.9,148.974,58.66,90.476,67.295,127.911,0.278023965,0.106646268,0.392654446,0.809271854,0.083283321,0.227156537,0.754923414
40,304_2,304,304_2019,2019,67.785,153.127,49.41,86.526,58.335,129.629,0.395295384,0.107870322,0.434882342,0.831832207,0.080939644,0.271102626,0.67420927
41,307_1,307,307_2019,2019,71.39,132.694,57.73,97.88,69.495,134.998,0.452272766,0.177026444,0.274929421,0.733349993,0.143523703,0.19189706,0.710065646
42,307_2,307,307_2019,2019,68.345,124.007,51.135,75.606,64.095,117.422,0.451265234,0.143911468,0.390398302,0.673643554,0.125514584,0.251809732,0.679779192
43,307_3,307,307_2019,2019,80.575,135.076,53.48,80.503,70.325,122.975,0.461664153,0.129611724,0.403823794,0.733773712,0.103620377,0.336276724,0.80142232
44,363_1,363,363_2019,2019,82.29,161.582,65.36,118.919,77.23,160.558,0.157592066,0.1626743,0.264063297,0.877762326,0.116851034,0.20588613,0.818480207
45,363_2,363,363_2019,2019,85.01,150.206,55.065,96.804,74.925,143.28,0.2052312,0.145081504,0.355516752,0.815964451,0.110593859,0.352230852,0.845534116
46,389_1,389,389_2019,2019,76.86,140.608,52.46,72.209,66.285,119,0.32129737,0.114003649,0.48642257,0.763825211,0.094434014,0.317629847,0.764471852
47,389_2,389,389_2019,2019,69.645,162.347,52.89,101.574,62.25,150.691,0.22121811,0.134704006,0.3743437,0.881918038,0.093002851,0.240286269,0.69270937
48,389_3,389,389_2019,2019,85.415,149.243,49.955,79.304,67.53,128.771,0.250275485,0.117899363,0.468659377,0.810733144,0.082578106,0.415224781,0.849562364
49,410_1,410,410_2019,2019,68.245,157.725,52.065,121.19,63.04,159.767,0.245422926,0.175481282,0.241478142,0.867902697,0.113062775,0.23707161,0.678784563
50,410_2,410,410_2019,2019,69.68,158.56,53.36,127.277,65.75,165.474,0.201169014,0.196716931,0.230702858,0.898904848,0.126598565,0.234244655,0.69305749
51,410_3,410,410_2019,2019,75.26,153.283,51.005,112.982,68.82,158.198,0.261324182,0.184813549,0.285844638,0.859379414,0.12233373,0.32199486,0.748557788
52,419_1,419,419_2019,2019,74.41,118.429,46.555,58.368,63.405,97.643,0.488375124,0.109003557,0.507592416,0.64334217,0.100756155,0.374108279,0.740103442
53,419_2,419,419_2019,2019,68.39,142.18,49.395,75.342,61.29,123.044,0.369424022,0.118954878,0.470054261,0.77236479,0.104422788,0.277590321,0.680226776
54,419_3,419,419_2019,2019,64.095,153.542,48.64,85.742,57.425,136.824,0.464635766,0.125565986,0.441697795,0.834086613,0.094733974,0.241175447,0.63750746
55,451_1,451,451_2019,2019,78.76,159.853,59.42,100.716,72.095,149.434,0.211132398,0.137308959,0.370038277,0.868369875,0.109208885,0.245488324,0.783369803
56,451_2,451,451_2019,2019,72.255,158.385,53.97,97.027,65.595,146.466,0.288057578,0.134293935,0.387399234,0.860395254,0.105998998,0.25314011,0.718669187
