Red,Blue,Green,H,S,V
154.2,125.008,159.608,0.192738461,0.216814617,0.867038961
145.51,111.334,148.947,0.181943967,0.252575058,0.809125182
155.683,131.734,161.149,0.19764525,0.182573985,0.875410139
163.125,113.463,155.562,0.141308452,0.304428311,0.886144369
164.608,114.081,157.053,0.141735651,0.307026934,0.894200474
162.657,111.091,154.662,0.140834508,0.317024807,0.883602051
137.52,96.004,136.558,0.162804702,0.301890634,0.74705026
139.164,94.846,138.914,0.165726492,0.318458797,0.755980965
127.854,79.916,123.414,0.151230061,0.374943295,0.694541622
140.515,91.851,136.017,0.151262507,0.346326125,0.763320007
154.353,118.904,151.643,0.153928604,0.229684098,0.83849221
159.08,115.004,157.633,0.161214656,0.277296174,0.864170705
159.148,111.544,146.968,0.123993533,0.299268813,0.864540101
145.37,80.745,127.349,0.120175983,0.444797095,0.789693836
145.718,77.011,125.479,0.117564903,0.471522643,0.791584277
170.846,109.964,158.817,0.133759299,0.356573443,0.928087178
183.37,152.775,179.945,0.148021755,0.166865949,0.996121336
178.72,138.167,175.878,0.154986757,0.226910773,0.970861129
160.238,102.424,149.539,0.135807994,0.360848679,0.870461312
163.069,109.924,154.52,0.139856387,0.325907289,0.88584016
155.1,88.91,140.045,0.12877796,0.426786416,0.84255014
112.146,65.811,103.745,0.136455302,0.413136079,0.609211013
120.988,72.827,113.34,0.140205462,0.398436216,0.657243432
150.334,95.599,141.972,0.141199585,0.364087334,0.816659786
153.055,97.589,146.418,0.146720811,0.362612802,0.831441081
150.019,90.588,141.93,0.144006306,0.396143413,0.814948611
153.789,90.883,142.615,0.137052404,0.408994883,0.835428391
127.073,67.023,107.734,0.113006684,0.472558495,0.690298994
138.318,75.422,120.976,0.12065878,0.454573651,0.751385237
128.544,65.997,107.022,0.109336732,0.486502907,0.698289911
158.187,114.443,153.235,0.147836258,0.276509288,0.859319659
148.433,87.89,132.073,0.121653434,0.407963485,0.806332979
167.642,121.946,160.875,0.142028727,0.272631713,0.91068208
145.663,83.645,127.425,0.117657101,0.425867353,0.7912855
158.09,108.814,150.983,0.142617224,0.311656083,0.858792725
146.177,85.549,133.314,0.131301601,0.414766096,0.794077704
173.221,122.155,162.372,0.131255678,0.294972881,0.940988896
148.195,90.24,131.706,0.119231057,0.391012344,0.80504009
148.974,90.476,127.911,0.106646268,0.392654446,0.809271854
153.127,86.526,129.629,0.107870322,0.434882342,0.831832207
132.694,97.88,134.998,0.177026444,0.274929421,0.733349993
124.007,75.606,117.422,0.143911468,0.390398302,0.673643554
135.076,80.503,122.975,0.129611724,0.403823794,0.733773712
161.582,118.919,160.558,0.1626743,0.264063297,0.877762326
150.206,96.804,143.28,0.145081504,0.355516752,0.815964451
140.608,72.209,119,0.114003649,0.48642257,0.763825211
162.347,101.574,150.691,0.134704006,0.3743437,0.881918038
149.243,79.304,128.771,0.117899363,0.468659377,0.810733144
157.725,121.19,159.767,0.175481282,0.241478142,0.867902697
158.56,127.277,165.474,0.196716931,0.230702858,0.898904848
153.283,112.982,158.198,0.184813549,0.285844638,0.859379414
118.429,58.368,97.643,0.109003557,0.507592416,0.64334217
142.18,75.342,123.044,0.118954878,0.470054261,0.77236479
153.542,85.742,136.824,0.125565986,0.441697795,0.834086613
159.853,100.716,149.434,0.137308959,0.370038277,0.868369875
158.385,97.027,146.466,0.134293935,0.387399234,0.860395254
158.661,107.083,148.747,0.134630462,0.325139011,0.86189457
138.791,77.62,122.274,0.12155135,0.440235598,0.753954716
158.605,107.37,149.317,0.136452607,0.32304675,0.861590361
139.422,80.751,126.249,0.129247365,0.420845738,0.7573825
147.842,93.575,136.711,0.132490429,0.36705284,0.803122488
154.359,113.668,152.036,0.157327761,0.26363407,0.838524804
160.25,125.959,160.629,0.168562483,0.216084191,0.87291128
131.985,68.009,113.128,0.117537809,0.48472001,0.716982465
148.13,88.272,135.717,0.132104499,0.404146208,0.804686991
139.961,98.322,133.487,0.140783414,0.29749973,0.760310511
131.793,92.339,127.123,0.146863445,0.299381158,0.715939463
168.806,116.105,157.683,0.131420117,0.312964032,0.91700528
163.208,106.447,150.791,0.13019517,0.347821378,0.88659525
163.305,102.481,147.418,0.123134619,0.372466403,0.887122184
157.49,92.268,139.241,0.120063208,0.414020185,0.855533344
147.878,80.884,129.061,0.119851888,0.453101678,0.74765911
154.367,106.18,148.948,0.147923643,0.312160042,0.780466965
148.286,99.791,147.335,0.163430952,0.327003811,0.749721925
155.331,116.32,158.991,0.180366499,0.268368977,0.803845532
159.687,97.7825,149.454,0.13912783,0.387639938,0.807364451
168.882,124.639,163.825,0.147604947,0.261947496,0.853853621
153.501,89.948,141.625,0.135523796,0.414199473,0.77608854
161.303,104.409,154.145,0.145699337,0.3527713,0.815534815
167.589,108.348,157.825,0.139192889,0.353470045,0.847316319
160.639,101.904,155.598,0.152365914,0.365652421,0.812177686
163.149,106.516,156.244,0.146349054,0.347135401,0.824868041
142.856,76.408,125.168,0.122301148,0.465139721,0.722268287
153.284,87.34733333,140.94,0.135474347,0.430096722,0.774991405
120.178,70.116,112.769,0.141999893,0.416662459,0.607610168
153.5633333,88.724,139.964,0.131717104,0.422343342,0.776403691
156.754,105.422,147.904,0.137932154,0.327468518,0.792535442
136.15,99.428,140.184,0.183163215,0.290732181,0.708758873
147.153,107.804,152.472,0.186518439,0.292981308,0.770885999
155.161,119.129,158.313,0.180095684,0.24755483,0.800417619
161.287,114.872,159.077,0.158732867,0.287770069,0.815453921
147.3293333,92.51133333,141.512,0.149028638,0.37265431,0.744885096
155.0164,99.8936,148.6952,0.147625125,0.355739718,0.783750278
171.305,117.761,163.866,0.143510347,0.312566378,0.866104112
161.754,109.828,152.6566667,0.137464273,0.321353881,0.817815034
162.629,128.0385,165.924,0.181093545,0.228272463,0.838898215
156.949,115.354,155.293,0.160025168,0.26507832,0.793521346
160.76,129.272,165.381,0.18797547,0.218306433,0.836152851
152.99,79.513,130.827,0.116396642,0.480281662,0.773504965
173.956,109.835,159.423,0.128923051,0.368592977,0.879507352
176.5028,124.8424,170.8472,0.148460212,0.292891337,0.892383764
161.44,118.683,158.549,0.155406562,0.264916005,0.816227476
155.371,97.425,144.56,0.135572696,0.37300382,0.785543107
166.22,116.457,158.311,0.14015445,0.299379316,0.840394766
139.506,78.872,127.4,0.133386773,0.434617639,0.705330961
158.1165,102.3445,151.3285,0.146351097,0.352814087,0.799424131
153.6085,91.07,141.377,0.134108445,0.407219292,0.776632051
157.22,93.826,142.698,0.12849262,0.403204807,0.7948915
159.652,105.788,153.457,0.147507202,0.337419363,0.807187494
156.736,85.656,133.662,0.112567475,0.453497251,0.792444436
168.98,102.8903333,150.028,0.118874355,0.391183227,0.854349101
135.1446667,76.246,127.316,0.144534077,0.435830352,0.683280415
158.887,115.152,158.898,0.166682049,0.276234967,0.804411795
172.922,117.697,163.123,0.137094818,0.319390708,0.874279532
160.918,102.089,150.468,0.137059181,0.365593606,0.813588287
153.735,103.943,146.769,0.14335082,0.323883164,0.777271624
135.375,92.482,135.25,0.166269165,0.318083933,0.685749388
157.524,107.091,154.883,0.157937425,0.320244228,0.7964285
154.792,85.407,135.541,0.120434685,0.448245987,0.78261573
150.56,79.066,129.384,0.117283298,0.474842688,0.761219083
146.985,94.744,141.719,0.14986178,0.355419271,0.743144175
143.53,93.263,142.986,0.164910996,0.350215057,0.725675977
137.648,84.583,132.361,0.150065714,0.385602804,0.695937064
159.79,131.388,165.897,0.196170142,0.207971811,0.838761705
141.002,102.565,144.689,0.1812749,0.290975326,0.731535786
159.244,129.852,165.628,0.196403002,0.215975162,0.837401663
183.487,129.48,172.72,0.133443518,0.294349824,0.92769531
180.024,128.914,169.466,0.132237649,0.283961196,0.910186665
186.295,141.665,180.69,0.145731701,0.239655154,0.94189233
157.488,105.949,153.681,0.154356276,0.327271244,0.796246486
151.548,91.569,141.049,0.137494337,0.395898748,0.766214331
153.294,94.868,144.632,0.142050361,0.381613944,0.775041964
173.778,113.061,159.774,0.128196927,0.349376347,0.878607398
180.594,131.241,171.919,0.137364295,0.273370422,0.913068538
145.014,83.327,129.037,0.123489421,0.425366818,0.73317896
141.468,84.495,130.077,0.133349223,0.402730309,0.715250673
160.764,103.633,150.615,0.137060662,0.355372083,0.812809675
152.639,103.341,145.065,0.141103565,0.323070597,0.771730338
146.665,89.671,136.389,0.136617196,0.388666156,0.741526281
154.975,97.752,149.985,0.152140803,0.369299617,0.783540963
152.842,88.011,141.388,0.137220088,0.42421059,0.772756689
158.561,97.849,146.822,0.134441338,0.38289839,0.801671487
177.024,137.876,174.485,0.155853998,0.221170546,0.895018909
170.829,115.951,160.201,0.134429554,0.321562894,0.863697495
175.067,123.12,166.355,0.138725649,0.296721089,0.885124477
146.113,82.664,131.245,0.127580778,0.434113938,0.738735414
149.681,89.272,139.669,0.139037987,0.403677677,0.756774931
135.682,81.684,124.67,0.132675182,0.398081173,0.685997129
144.69,95.037,140.13,0.151358252,0.343167437,0.731540842
147.991,83.461,130.262,0.120888407,0.436003098,0.748230429
164.612,102.763,152.66,0.134429647,0.375713192,0.83226485
153.841,84.647,133.815,0.118484428,0.450142651,0.777807552
124.456,70.095,113.796,0.133979024,0.436780851,0.629239388
127.22,74.508,116.836,0.133815364,0.414030864,0.643213947
140.736,74.223,121.852,0.119350484,0.472588827,0.71154974
169.559,115.275,160.771,0.139713132,0.32021193,0.857276478
151.651,91.511,136.954,0.125931635,0.396529699,0.76673509
156.272,96.12,144.417,0.133819346,0.384929186,0.79009849
163.304,105.135,154.677,0.141964002,0.356198298,0.825651708
148.837,81.643,130.269,0.120592724,0.451426279,0.752507736
155.038,85.695,138.846,0.127717732,0.447288944,0.783859486
134.888,71.089,114.849,0.114310876,0.473606847,0.681982729
146.637,85.279,133.01,0.129646875,0.418448771,0.741384715
161.789,113.473,156.361,0.147952457,0.298648006,0.817991992
139.217,100.175,141.993,0.177729071,0.294514714,0.71790503
142.362,104.129,147.709,0.187087102,0.295054287,0.74680466
138.587,91.275,140.408,0.172871237,0.350042088,0.709891399
163.362,111.099,151.422,0.128609777,0.320016812,0.825944951
173.662,130.064,165.305,0.134769444,0.251038815,0.878020912
174.349,123.639,169.422,0.150512757,0.290815276,0.881494328
161.856,95.234,145.428,0.125565072,0.411610378,0.818330738
177.6,130.015,174.328,0.155206545,0.267964296,0.897931119
157.206,85.57,140.577,0.127980122,0.455687825,0.794820718
174.469,130.512,172.506,0.159215664,0.251944571,0.882101038
155.625,88.598,141.082,0.1305047,0.430722248,0.78682731
145.372,82.796,131.866,0.130694842,0.430482027,0.734988978
152.375,91.007,140.442,0.134252997,0.402744097,0.770395575
153.36,98.805,147.595,0.149068781,0.355644817,0.775375655
148.031,80.412,130.461,0.123351643,0.4568987,0.748432666
154.444,99.343,143.111,0.132388828,0.356745032,0.780856271
146.564,91.39,138.984,0.143802032,0.376361195,0.741015633
156.23,109.031,154.77,0.161535908,0.302086302,0.789886141
156.017,107.424,153.855,0.159251252,0.311478664,0.78880923
172.088,130.455,170.834,0.161641595,0.241937908,0.870062896
153.839,86.316,133.959,0.117598171,0.43889832,0.77779744
141.657,76.723,121.987,0.116160555,0.458374882,0.716206241
151.646,88.704,135.911,0.125004077,0.415081465,0.766709811
144.221,72.773,121.474,0.113600279,0.495360289,0.729169616
123.647,57.607,99.789,0.106394322,0.534096487,0.62514915
150.716,84.367,133.987,0.124641357,0.440243158,0.762007806
164.762,120.016,161.389,0.154092707,0.271623729,0.833023237
159.473,119.266,161.962,0.176379799,0.263638585,0.818866666
162.303,122.925,163.405,0.171198578,0.248547274,0.82690052
168.254,114.232,160.082,0.141465451,0.321067166,0.850678504
160.292,98.904,150.67,0.140536316,0.382941878,0.810423282
172.026,127.527,170.037,0.159219962,0.258676431,0.869749429
175.248,126.766,169.717,0.147662782,0.27665305,0.886039598
162.237,105.527,153.044,0.139639882,0.349547183,0.820257043
150.579,88.967,131.577,0.115254298,0.409120972,0.761315146
130.627,65.116,107.205,0.107075427,0.501492789,0.660439461
152.192,86.293,137.945,0.13062486,0.432992403,0.769470342
