slice ,count_egg,total_area_egg,average_size_egg,percent_area_egg,mean_size_egg,count_spot,total_area_spot,average_size_spot,percent_area_spot,mean_size_spot,name
13-05-2019_201_1_1.JPG,1,1042667,1042667,27.433,121.139,227,216178,952.326,5.688,81.546,Jasmine
13-05-2019_201_1_2.JPG,1,1040412,1040412,30.703,121.154,204,224665,1101.299,6.63,78.791,Jasmine
13-05-2019_304_1_1.JPG,1,1100126,1100126,48.149,102.681,208,335919,1614.995,14.702,82.3,Choon
13-05-2019_304_1_2.JPG,1,1104351,1104351,47.393,109.3,174,276863,1591.167,11.881,82.159,Choon
14-05-2019_307_1_1.JPG,1,1031429,1031429,57.787,88.234,226,538417,2382.376,30.165,91.319,Andrea
14-05-2019_307_1_2.JPG,1,1055402,1055402,53.07,101.47,226,403728,1786.407,20.301,90.317,Andrea
15-05-2019_201_2_1.JPG,1,1006986,1006986,42.41,110.925,194,313294,1614.918,13.195,86.875,Andrea
15-05-2019_201_2_2.JPG,1,1005610,1005610,48.797,113.042,149,283783,1904.584,13.771,83.506,Andrea
15-05-2019_202_2_1.JPG,1,1071921,1071921,41.195,120.62,184,208890,1135.272,8.028,76.718,Jasmine
15-05-2019_202_2_2.JPG,1,1065720,1065720,32.566,127.212,173,160495,927.717,4.904,75.576,Jasmine
15-05-2019_206_1_1.JPG,1,1097184,1097184,35.87,106.798,206,285359,1385.238,9.329,84.672,Jasmine
15-05-2019_304_2_1.JPG,1,1157359,1157359,35.144,92.714,118,479600,4064.407,14.563,78.292,Jasmine
15-05-2019_304_2_2.JPG,1,1153323,1153323,40.019,95.787,149,433879,2911.94,15.055,78.102,Jasmine
16-05-2019_307_2_1.JPG,1,1040926,1040926,44.775,87.973,214,495248,2314.243,21.303,86.321,Jasmine
16-05-2019_307_2_2.JPG,1,1042734,1042734,39.702,91.625,241,444991,1846.436,16.943,87.141,Jasmine
16-05-2019_410_1_1.JPG,1,970774,970774,37.494,120.026,175,245299,1401.709,9.474,80.628,Jasmine
16-05-2019_410_1_2.JPG,1,971356,971356,33.423,121.728,163,231340,1419.264,7.96,79.21,Jasmine
17-05-2019_201_3_1.JPG,1,976234,976234,32.259,126.946,181,178381,985.53,5.894,84.379,Jasmine
17-05-2019_201_3_2.JPG,1,981055,981055,36.96,125.372,131,206561,1576.802,7.782,82.623,Jasmine
17-05-2019_202_3_1.JPG,1,1025930,1025930,32.79,118.501,176,238191,1353.358,7.613,75.149,Jasmine
17-05-2019_202_3_2.JPG,1,1021574,1021574,38.758,118.156,164,240462,1466.232,9.123,77.858,Jasmine
17-05-2019_410_2_1.JPG,1,994645,994645,33.043,127.663,204,197382,967.559,6.557,77.714,Jasmine
17-05-2019_410_2_2.JPG,1,994309,994309,33.985,127.684,220,202733,921.514,6.929,78.724,Jasmine
17-05-2019_419_1_1.JPG,1,1152499,1152499,29.187,81.309,268,575420,2147.09,14.572,79.753,Jasmine
17-05-2019_419_1_2.JPG,1,1148801,1148801,37.202,81.535,257,548518,2134.311,17.763,80.075,Jasmine
17-05-2019_516_1_1.JPG,1,1097298,1097298,33.33,123.93,190,178236,938.084,5.414,81.234,Jasmine
17-05-2019_516_1_2.JPG,1,1101745,1101745,39.431,123.135,184,187435,1018.668,6.708,81.349,Jasmine
18-05-2019_206_3_1.JPG,1,1100012,1100012,50.708,99.849,280,312050,1114.464,14.385,85.57,Choon
18-05-2019_220_1_1.JPG,1,1123036,1123036,42.707,116.347,325,219830,676.4,8.36,78.882,Choon
18-05-2019_220_1_2.JPG,1,1125221,1125221,50.139,118.782,321,207290,645.763,9.237,79.537,Choon
18-05-2019_223_1_1.JPG,1,1085029,1085029,45.96,82.982,326,720258,2209.38,30.509,90.668,Andrea
18-05-2019_223_1_2.JPG,1,1083894,1083894,46.014,82.876,352,720115,2045.781,30.571,90.601,Andrea
18-05-2019_307_3_1.JPG,1,976460,976460,49.346,89.522,385,469761,1220.158,23.74,81.518,Andrea
18-05-2019_307_3_2.JPG,1,974160,974160,42.377,91.771,393,430815,1096.221,18.741,82.086,Andrea
18-05-2019_419_2_1.JPG,1,1104545,1104545,30.073,90.216,171,414053,2421.363,11.273,76.03,Jasmine
18-05-2019_419_2_2.JPG,1,1112878,1112878,34.85,92.568,192,405071,2109.745,12.685,76.761,Jasmine
19-05-2019_410_3_1.JPG,1,1048655,1048655,40.317,113.283,252,287381,1140.401,11.049,79.847,Andrea
19-05-2019_410_3_2.JPG,1,1049062,1049062,43.232,115.604,279,260798,934.76,10.748,82.665,Andrea
19-05-2019_516_2_1.JPG,1,980910,980910,42.278,127.76,202,177251,877.48,7.64,84.827,Andrea
19-05-2019_516_2_2.JPG,1,984727,984727,37.215,127.294,185,191401,1034.6,7.233,85.59,Andrea
20-05-2019_220_2_1.JPG,1,1137996,1137996,49,121.78,215,221842,1031.823,9.552,81.736,Andrea
20-05-2019_220_2_2.JPG,1,1138455,1138455,60.044,120.173,214,240422,1123.467,12.68,80.63,Andrea
20-05-2019_223_2_1.JPG,1,1026252,1026252,51.033,84.99,319,547432,1716.088,27.222,88.478,Andrea
20-05-2019_223_2_2.JPG,1,1029563,1029563,42.533,90.786,304,472312,1553.658,19.512,88.005,Andrea
20-05-2019_419_3_1.JPG,1,1079848,1079848,43.574,87.524,262,522206,1993.153,21.072,76.561,Andrea
20-05-2019_419_3_2.JPG,1,1079664,1079664,53.393,92.506,236,481184,2038.915,23.796,76.484,Andrea
20-05-2019_528_2_1.JPG,1,1062884,1062884,53.539,85.823,154,442540,2873.636,22.291,79.102,Andrea
20-05-2019_528_2_2.JPG,1,1076860,1076860,54.374,85.394,161,462600,2873.292,23.358,78.686,Andrea
21-05-2019_223_3_1.JPG,1,1045369,1045369,43.965,103.163,243,330411,1359.716,13.896,81.144,Andrea
21-05-2019_223_3_2.JPG,1,1052574,1052574,49.256,107.028,318,284165,893.601,13.298,81.804,Andrea
21-05-2019_238_1_1.JPG,1,1106802,1106802,53.51,114.341,166,233602,1407.241,11.294,76.105,Choon
21-05-2019_238_1_2.JPG,1,1108754,1108754,54.511,105.42,145,321473,2217.055,15.805,76.849,Choon
22-05-2019_220_3_1.JPG,1,1055935,1055935,38.591,113.313,294,196723,669.126,7.19,79.191,Andrea
22-05-2019_220_3_2.JPG,1,1058841,1058841,43.102,111.941,329,195628,594.614,7.963,78.758,Andrea
22-05-2019_245_1_1.JPG,1,1074716,1074716,45.048,92.135,368,402012,1092.424,16.851,84.432,Jasmine
22-05-2019_245_1_2.JPG,1,1073905,1073905,46.152,93.95,264,380396,1440.894,16.348,83.171,Jasmine
22-05-2019_528_3_1.JPG,1,1057594,1057594,37.548,100.831,253,313721,1240.004,11.138,78.705,Jasmine
22-05-2019_528_3_2.JPG,1,1056820,1056820,33.534,105.066,250,266707,1066.828,8.463,77.035,Jasmine
23-05-2019_560_1_1.JPG,1,1063468,1063468,33.683,106.181,322,310099,963.04,9.822,84.45,Jasmine
23-05-2019_560_1_2.JPG,1,1060581,1060581,42.506,110.915,380,220421,580.055,8.834,86.058,Jasmine
24-05-2019_363_1_2.JPG,1,1173817,1173817,43.13,130.618,162,188758,1165.173,6.936,84.586,Jasmine
25-05-2019_363_2_1.JPG,1,1226988,1226988,33.457,114.441,349,252184,722.59,6.876,84.222,Jasmine
26-05-2019_255_2_1.JPG,1,1045534,1045534,34.029,106.403,330,239529,725.845,7.796,79.743,Jasmine
26-05-2019_255_2_2.JPG,1,1050788,1050788,32.248,109.851,322,206716,641.975,6.344,79.835,Jasmine
01-06-2019_386_3_1.JPG,1,1051626,1051626,43.037,128.923,226,109550,484.735,4.483,79.577,Jasmine
30-05-2019_386_2_1.JPG,1,1009379,1009379,33.429,112.54,183,222228,1214.361,7.36,80.603,Jasmine
24-05-2019_245_2_1.JPG,1,1061114,1061114,37.048,97.434,193,271722,1407.886,9.487,77.198,Jasmine
24-05-2019_245_2_2.JPG,1,1064697,1064697,35.6,97.297,203,298961,1472.714,9.996,76.627,Jasmine
28-05-2019_560_2_1.JPG,1,1132634,1132634,36.034,101.636,478,372507,779.303,11.851,84.252,Jasmine
28-05-2019_560_2_2.JPG,1,1126357,1126357,40.396,102.846,476,348765,732.7,12.508,84.316,Jasmine
29-05-2019_386_1_1.JPG,1,1034757,1034757,29.442,111.826,183,192123,1049.852,5.467,82.32,Jasmine
11-06-2019_255_1_2.JPG,1,1009949,1009949,33.186,127.391,337,115253,341.997,3.787,86.249,Jasmine
23-05-2019_238_2_1.JPG,1,1076922,1076922,36.741,105.433,157,334792,2132.433,11.422,79.57,Jasmine
23-05-2019_238_2_2.JPG,1,1074397,1074397,33.51,103.027,134,364932,2723.373,11.382,76.01,Jasmine
26-05-2019_245_3_1.JPG,1,1036905,1036905,36.913,92.383,214,358764,1676.467,12.772,80.796,Jasmine
26-05-2019_245_3_2.JPG,1,1035789,1035789,33.326,91.825,241,341389,1416.552,10.984,80.785,Jasmine
24-05-2019_238_3_1.JPG,1,1142034,1142034,39.427,108.65,161,281615,1749.161,9.722,76.914,Jasmine
24-05-2019_238_3_2.JPG,1,1142683,1142683,46.507,108.7,156,275957,1768.955,11.231,78.256,Jasmine
16-05-2019_206_2_1.JPG,1,1032209,1032209,31.749,105.759,157,294142,1873.516,9.047,83.745,Jasmine
25-05-2019_363_2_2.JPG,1,1224141,1224141,45.167,113.952,335,250865,748.851,9.256,84.237,Jasmine
11-06-2019_255_1_1.JPG,1,1007001,1007001,35.691,130.33,318,94091,295.884,3.335,85.933,Jasmine
14-05-2019_202_1_1.JPG,1,1059419,1059419,44.407,127.299,135,177338,1313.615,7.433,79.376,Jasmine
14-05-2019_202_1_2.JPG,1,1056118,1056118,45.158,129.731,145,172315,1188.379,7.368,78.827,Jasmine
24-05-2019_363_1_1.JPG,1,1168690,1168690,36.325,133.418,175,180419,1030.966,5.608,84.16,Jasmine
30-05-2019_389_1_1.JPG,1,971371,971371,44.263,93.685,175,321289,1835.937,14.64,80.52,Jasmine
30-05-2019_389_1_2.JPG,1,968668,968668,40.791,96.517,179,302066,1687.52,12.72,81.083,Jasmine
01-06-2019_389_2_1.JPG,1,1035453,1035453,35.072,118.121,135,227366,1684.193,7.701,76.98,Jasmine
01-06-2019_389_2_2.JPG,1,1034013,1034013,39.214,116.292,125,230435,1843.48,8.739,78.56,Jasmine
03-06-2019_389_3_1.JPG,1,986030,986030,35.826,101.729,227,255538,1125.718,9.285,78.221,Jasmine
03-06-2019_389_3_2.JPG,1,991464,991464,40.843,100.491,287,239332,833.909,9.859,78.32,Jasmine
21-05-2019_210_o1_1.JPG,1,1088753,1088753,34.44,105.553,323,316162,978.83,10.001,86.162,Jasmine
21-05-2019_210_o1_2.JPG,1,1087726,1087726,44.237,103.226,285,348941,1224.354,14.191,85.403,Jasmine
21-05-2019_210_o2_1.JPG,1,1065207,1065207,39.621,132.274,234,85638,365.974,3.185,86.063,Jasmine
21-05-2019_210_o2_2.JPG,1,1063289,1063289,33.013,131.356,209,87276,417.589,2.71,86.151,Jasmine
21-05-2019_210_3_1.JPG,1,1059003,1059003,44.567,114.788,255,274174,1075.192,11.538,80.203,Jasmine
21-05-2019_210_3_2.JPG,1,1053639,1053639,46.278,119.152,245,255167,1041.498,11.208,80.498,Jasmine
21-05-2019_213_1_1.JPG,1,1138358,1138358,42.382,134.244,270,86806,321.504,3.232,87.186,Jasmine
21-05-2019_213_1_2.JPG,1,1140143,1140143,41.807,131.921,299,96232,321.846,3.529,86.458,Jasmine
21-05-2019_213_o2_1.JPG,1,1149865,1149865,43.123,107.295,259,223496,862.919,8.382,76.642,Jasmine
21-05-2019_213_o2_2.JPG,1,1146842,1146842,40.631,107.834,259,228988,884.124,8.113,77.987,Jasmine
21-05-2019_213_o3_1.JPG,1,1118873,1118873,44.896,103.526,268,253960,947.612,10.19,74.505,Jasmine
21-05-2019_213_o3_2.JPG,1,1117321,1117321,32.9,105.413,249,266381,1069.803,7.844,75.319,Jasmine
23-05-2019_219_o1_1.JPG,1,1100942,1100942,34.791,124.995,183,184313,1007.175,5.825,78.939,Jasmine
23-05-2019_219_o1_2.JPG,1,1098023,1098023,39.304,130.048,186,142930,768.441,5.116,78.578,Jasmine
23-05-2019_219_o2_1.JPG,1,1029155,1029155,37.689,160.155,99,78165,789.545,2.862,77.231,Jasmine
23-05-2019_219_o2_2.JPG,1,1030446,1030446,35.907,162.725,91,62161,683.088,2.166,77.69,Jasmine
